id,title,subject,grade_level,difficulty_level,difficulty_score,topics,question_type,has_mathml,math_complexity,content_quality_score,math_accuracy_score,pedagogical_value_score,accessibility_score,translation_ready,adaptive_learning_ready
1,'Sets',mathematics,10,beginner,1,general,general,False,low,0.6,0.8,0.6,0.7,True,False
2,"'Set builder form, Roster form'",mathematics,10,beginner,1,algebra|trigonometry|number_theory,multiple_choice,False,low,0.7,0.8,0.7,0.8999999999999999,True,False
3,'Set builder form',mathematics,10,beginner,1,general,general,True,low,0.9,0.8,0.6,0.7999999999999999,True,False
4,'Set builder form',mathematics,10,beginner,1,algebra|number_theory,multiple_choice,False,low,0.7,0.8,0.7,0.7999999999999999,True,False
5,"'Work and Energy, Spring Constant'",mathematics,10,beginner,1,trigonometry,multiple_choice,True,low,0.7,0.8,0.6,0.7999999999999999,True,False
6,'Roster form',mathematics,10,beginner,1,trigonometry,general,True,medium,0.9,0.8,0.6,0.8999999999999999,True,False
7,'Separable&nbsp;Equations',mathematics,10,beginner,1,algebra,problem_solving,True,medium,0.6,0.8,0.6,0.7999999999999999,True,False
8,'Types of sets (1)',mathematics,10,beginner,1,general,general,False,medium,0.6,0.8,0.6,0.7,True,False
9,'Types of sets (2)',mathematics,10,beginner,1,general,general,False,low,0.6,0.8,0.6,0.7,True,False
10,'Types of sets (3)',mathematics,10,beginner,1,general,general,False,medium,0.6,0.8,0.6,0.7,True,False
11,'Factorizing by the common factor',mathematics,10,beginner,1,algebra|number_theory,general,False,low,0.7,0.8,0.7,0.7999999999999999,True,False
12,'Factorizing by the common factor',mathematics,10,beginner,1,algebra|number_theory,general,False,low,0.7,0.8,0.7,0.7999999999999999,True,False
13,'Factorizing by taking out common factors',mathematics,10,beginner,1,algebra|number_theory,general,False,low,0.7,0.8,0.7,0.7999999999999999,True,False
14,'Factorizing of trinomials',mathematics,10,beginner,1,algebra|number_theory,general,True,low,0.7,0.8,0.7,0.7999999999999999,True,False
15,'Factoring',mathematics,10,beginner,1,algebra|number_theory,general,False,low,0.7,0.8,0.7,0.7999999999999999,True,False
16,'Factoring',mathematics,10,beginner,1,algebra|number_theory,general,True,low,0.6,0.8,0.7,0.7999999999999999,True,False
17,'Factoring',mathematics,10,beginner,1,algebra|number_theory,general,False,low,0.7,0.8,0.7,0.7999999999999999,True,False
18,'Factoring',mathematics,10,beginner,1,algebra|number_theory,general,False,low,0.6,0.8,0.7,0.7999999999999999,True,False
19,'Factoring',mathematics,10,beginner,1,algebra|number_theory,general,False,low,0.6,0.8,0.7,0.7999999999999999,True,False
20,'Factoring',mathematics,10,beginner,1,algebra|number_theory,general,False,low,0.7,0.8,0.7,0.7999999999999999,True,False
21,'Factoring',mathematics,10,beginner,1,algebra|number_theory,general,False,low,0.6,0.8,0.7,0.7999999999999999,True,False
22,'Prime Factorization',mathematics,10,beginner,1,algebra|number_theory,problem_solving,False,low,0.6,0.8,0.7,0.7999999999999999,True,False
23,'Fraction',mathematics,10,beginner,1,general,general,True,low,0.7,0.8,0.6,0.7999999999999999,True,False
24,'Repeating Decimal',mathematics,10,beginner,1,general,general,True,low,0.9,0.8,0.6,0.7999999999999999,True,False
25,'Absolute Value&nbsp;Inequality',mathematics,10,beginner,1,algebra,problem_solving,False,low,0.7,0.8,0.6,0.7999999999999999,True,False
26,'Rational Inequality',mathematics,10,beginner,1,algebra,problem_solving,True,medium,0.7999999999999999,0.8,0.6,0.7,True,False
27,'Rational Equation',mathematics,10,beginner,1,algebra,problem_solving,True,medium,0.7999999999999999,0.8,0.6,0.7999999999999999,True,False
